,Vector1,,,Vector2,,
1005,0.037390079,-1.25E-09,6.93E-11,0.017394467,1.19E-09,4.28E-10
1010,0.072647631,5.91E-10,-9.72E-11,0.030855097,-5.88E-10,-1.39E-10
1015,0.121224711,1.31E-10,-6.95E-11,0.051686473,-1.51E-10,1.28E-11
1020,0.189109128,-8.18E-11,-5.93E-11,0.080206109,4.55E-11,9.46E-11
1025,0.287605679,1.06E-11,-9.28E-11,0.120024455,-6.37E-11,1.01E-10
1030,0.434519467,-3.61E-10,-6.39E-11,0.179036467,2.71E-10,2.57E-10
1035,0.656978914,-4.45E-10,-8.90E-11,0.262830072,2.95E-10,3.73E-10
1040,1.010481749,-2.06E-10,8.66E-11,0.394080163,2.86E-10,-9.35E-11
1045,1.557699822,2.74E-10,-1.85E-10,0.544712696,-2.70E-10,-1.76E-10
1050,2.428132684,6.70E-10,-1.17E-09,0.514196422,-1.31E-09,-1.02E-10
1055,1.605284332,-1.39E-09,-1.12E-09,0.47412515,-9.80E-10,1.47E-09
1060,-0.204123688,-1.10E-12,1.76E-10,-0.200790333,1.75E-10,-1.50E-11
1065,0.224576138,-1.61E-11,-2.08E-10,0.225130938,-2.08E-10,1.05E-11
1070,-0.001719484,-1.68E-11,-7.89E-11,-0.001622972,-7.92E-11,1.53E-11
1075,-6.43E-04,-6.96E-12,-2.62E-11,-6.26E-04,-2.55E-11,4.64E-12
1080,-2.22E-04,-3.30E-12,-8.71E-12,-2.18E-04,-8.14E-12,1.79E-12
1085,-6.07E-05,-1.63E-12,-2.90E-12,-7.37E-05,-2.58E-12,7.51E-13
1090,-1.32E-05,-9.01E-13,-1.01E-12,-2.46E-05,-7.90E-13,4.19E-13
1095,7.41E-07,-5.20E-13,-3.69E-13,-8.30E-06,-2.25E-13,2.46E-13
1100,4.39E-06,-3.06E-13,-1.46E-13,-2.88E-06,-5.12E-14,1.49E-13
1105,0.769481441,-5.06E-10,1.35E-10,0.026695459,2.08E-11,7.34E-10
1110,8.932540839,-2.10E-09,7.92E-10,-1.067463032,-1.45E-10,2.09E-09
1115,7.794696637,1.92E-10,2.61E-11,-2.205318249,7.13E-11,1.63E-11
1120,10.76455264,-2.70E-10,-1.18E-10,0.764532047,1.22E-10,-2.36E-10
1125,5.792764046,6.61E-12,1.36E-11,6.037754567,-1.11E-11,6.08E-13
1130,2.472961471,3.25E-09,1.57E-09,2.571490948,-3.41E-09,-1.23E-09
1135,-3.126735736,1.91E-08,6.34E-09,-3.291158392,-1.96E-08,-4.75E-09
1140,1.260527187,-4.30E-08,1.13E-09,1.323524381,4.28E-08,-4.28E-09
1145,1.317417297,-1.11E-08,1.97E-08,1.330656577,9.41E-09,-2.04E-08
1150,-0.173292417,5.32E-08,1.88E-08,-0.186362972,-5.45E-08,-1.44E-08
1155,-0.53105365,6.26E-08,2.37E-09,-0.537012217,-6.26E-08,2.80E-09
1160,-0.196920703,3.06E-08,-1.11E-08,-0.195701936,-2.96E-08,1.36E-08
1165,0.406146424,1.19E-08,-1.16E-08,0.429698476,-1.10E-08,1.25E-08
1170,0.965819196,1.42E-10,-1.69E-10,0.98135366,-2.09E-10,1.19E-10
