,Vector1,,,Vector2,,,Vector3,,,Vector4,,,Vector5,,,Vector6,,,Vector7,,
240, 176.22302482400198, 173.13204980603314, 164.17775803983696, 176.22302482400198, 173.13204980603314, 164.17775803983696, 176.22302482400198, 6.40350261376054, 16.386111412033305, 23.12119636134482, 6.40350261376054, 16.386111412033305, 23.12119636134482, 6.40350261376054, 11.624826162780701, 25.179435964958277, 9.773257289229592, 11.624826162780701, 25.179435964958277, 9.773257289229592, 11.624826162780701, 15.444126973331034
245, 70.39559117848812, 80.53409191205661, 69.69225535039996, 70.39559117848812, 80.53409191205661, 69.69225535039996, 70.39559117848812, 17.942646926973666, 4.541487067527216, 7.195273641695157, 17.942646926973666, 4.541487067527216, 7.195273641695157, 17.942646926973666, 7.56251003924966, 7.348989652619773, 3.4932310260937145, 7.56251003924966, 7.348989652619773, 3.4932310260937145, 7.56251003924966, 17.112226180717883
250, 85.16881118292122, 80.56718704619226, 73.86377027171459, 85.16881118292122, 80.56718704619226, 73.86377027171459, 85.16881118292122, 16.970715074623953, 8.230583365693196, 8.817491845743449, 16.970715074623953, 8.230583365693196, 8.817491845743449, 16.970715074623953, 11.548493421234385, 10.270760685244985, 4.744074462012117, 11.548493421234385, 10.270760685244985, 4.744074462012117, 11.548493421234385, 9.600914952197007
255, 28.334626162523147, 51.684509816332074, 47.77166343594383, 28.334626162523147, 51.684509816332074, 47.77166343594383, 28.334626162523147, 20.069248731031443, 15.463323768830085, 21.87680759004548, 20.069248731031443, 15.463323768830085, 21.87680759004548, 20.069248731031443, 29.392183322566822, 39.63020621085862, 9.865530613420841, 29.392183322566822, 39.63020621085862, 9.865530613420841, 29.392183322566822, 23.569913350082203
260, 106.32819325314752, 111.10509361518261, 95.37121769707417, 106.32819325314752, 111.10509361518261, 95.37121769707417, 106.32819325314752, 11.522117034020363, 26.869130167548843, 4.756735602660868, 11.522117034020363, 26.869130167548843, 4.756735602660868, 11.522117034020363, 28.55683541898228, 45.26092147356828, 13.514564534110251, 28.55683541898228, 45.26092147356828, 13.514564534110251, 28.55683541898228, 24.328330750796944
265, 55.29251206769908, 45.90310390590216, 41.816309918495534, 55.29251206769908, 45.90310390590216, 41.816309918495534, 55.29251206769908, 3.260795022904997, 7.622916652805624, 13.785926227816267, 3.260795022904997, 7.622916652805624, 13.785926227816267, 3.260795022904997, 14.149586622602277, 21.176734808745003, 11.338258737252508, 14.149586622602277, 21.176734808745003, 11.338258737252508, 14.149586622602277, 22.785308000174567
270, 112.77773397288821, 133.66973991761714, 129.68136316194648, 112.77773397288821, 133.66973991761714, 129.68136316194648, 112.77773397288821, 19.236161304763606, 5.409405743261892, 6.350343040737864, 19.236161304763606, 5.409405743261892, 6.350343040737864, 19.236161304763606, 6.51682564715226, 4.662927588091089, 6.494356114922671, 6.51682564715226, 4.662927588091089, 6.494356114922671, 6.51682564715226, 9.096593605021834
275, 12.415550866065047, 8.418297773289764, 13.773016231669954, 12.415550866065047, 8.418297773289764, 13.773016231669954, 12.415550866065047, 13.89202531900536, 11.88959824803594, 10.818923131455929, 13.89202531900536, 11.88959824803594, 10.818923131455929, 13.89202531900536, 20.62021636871217, 47.89868887097157, 16.22177567697338, 20.62021636871217, 47.89868887097157, 16.22177567697338, 20.62021636871217, 9.006096349784702
280, 132.5412555317446, 146.96652619648435, 149.3542954671496, 132.5412555317446, 146.96652619648435, 149.3542954671496, 132.5412555317446, 20.062272252188286, 7.727883097622799, 1.8226891605836852, 20.062272252188286, 7.727883097622799, 1.8226891605836852, 20.062272252188286, 10.000029811982508, 14.344436290570336, 7.113876883865055, 10.000029811982508, 14.344436290570336, 7.113876883865055, 10.000029811982508, 9.682962965783776
285, 63.49521346871322, 62.939110704351975, 49.027697683607954, 63.49521346871322, 62.939110704351975, 49.027697683607954, 63.49521346871322, 10.470138476074494, 17.045579165566966, 18.382565474456168, 10.470138476074494, 17.045579165566966, 18.382565474456168, 10.470138476074494, 11.345237754723797, 25.385356294635304, 19.33229588823585, 11.345237754723797, 25.385356294635304, 19.33229588823585, 11.345237754723797, 14.883651244186714
290, 61.492955236149875, 74.64180578805045, 55.23216371937309, 61.492955236149875, 74.64180578805045, 55.23216371937309, 61.492955236149875, 16.902685599189166, 7.3955658848315755, 7.570615476861906, 16.902685599189166, 7.3955658848315755, 7.570615476861906, 16.902685599189166, 12.222683534756898, 26.426509122226165, 3.7540171617515474, 12.222683534756898, 26.426509122226165, 3.7540171617515474, 12.222683534756898, 8.49536224243095
295, 78.83413743879582, 74.55054049017126, 73.65808100562535, 78.83413743879582, 74.55054049017126, 73.65808100562535, 78.83413743879582, 7.80261405269509, 14.749943530967219, 12.984349950374947, 7.80261405269509, 14.749943530967219, 12.984349950374947, 7.80261405269509, 7.5791643530436135, 25.358321738819928, 10.527147501119966, 7.5791643530436135, 25.358321738819928, 10.527147501119966, 7.5791643530436135, 13.637095056509128
300, 47.73674651648946, 51.06486699907527, 39.20496628787291, 47.73674651648946, 51.06486699907527, 39.20496628787291, 47.73674651648946, 10.450746337197062, 11.004726150752395, 9.05260048732296, 10.450746337197062, 11.004726150752395, 9.05260048732296, 10.450746337197062, 23.551116276441864, 28.814993988088887, 21.18205990526508, 23.551116276441864, 28.814993988088887, 21.18205990526508, 23.551116276441864, 16.194151634801827
305, 35.32988837752035, 36.790730268201926, 19.723066481484512, 35.32988837752035, 36.790730268201926, 19.723066481484512, 35.32988837752035, 14.850633448189244, 7.781716357054262, 8.554008364654607, 14.850633448189244, 7.781716357054262, 8.554008364654607, 14.850633448189244, 8.155878242752937, 20.699446047700633, 18.051571224753825, 8.155878242752937, 20.699446047700633, 18.051571224753825, 8.155878242752937, 18.06550884978669
310, 19.28688005189994, 17.49633110605697, 26.28260094053081, 19.28688005189994, 17.49633110605697, 26.28260094053081, 19.28688005189994, 12.366054275873404, 1.0651516382639346, 5.94247749362728, 12.366054275873404, 1.0651516382639346, 5.94247749362728, 12.366054275873404, 17.772838826611494, 32.20445291121629, 11.89350687810069, 17.772838826611494, 32.20445291121629, 11.89350687810069, 17.772838826611494, 7.000630284966832
315, 64.08116395050384, 68.99070810267253, 52.13076718829825, 64.08116395050384, 68.99070810267253, 52.13076718829825, 64.08116395050384, 22.88653594516826, 27.18570600222617, 13.894207134799691, 22.88653594516826, 27.18570600222617, 13.894207134799691, 22.88653594516826, 14.874695093118895, 22.01861550802354, 8.277148008905051, 14.874695093118895, 22.01861550802354, 8.277148008905051, 14.874695093118895, 21.81130033066485
320, 23.863782226876506, 27.72950799702475, 20.83379816218117, 23.863782226876506, 27.72950799702475, 20.83379816218117, 23.863782226876506, 6.07066201208265, 4.321440362753324, 1.3609851069740182, 6.07066201208265, 4.321440362753324, 1.3609851069740182, 6.07066201208265, 15.857851605822628, 25.250589578490708, 8.472363529247284, 15.857851605822628, 25.250589578490708, 8.472363529247284, 15.857851605822628, 18.206844345192255
