,Vector1,,,Vector2,,
1495,0.268328217,0.314145052,-0.40428014,0.314140153,-0.268336315,-0.404246046
1500,1.050466795,-0.961975522,-0.273637094,-0.962068413,-1.050329665,-0.273634861
1505,1.028799186,0.590451231,-0.465370698,0.590340521,-1.028688384,-0.465418517
1510,1.694589871,1.595122477,-2.999376446,1.595149914,-1.694487846,-2.999417001
1515,2.488561148,-0.462246919,-3.036718618,-0.462258533,-2.488517011,-3.036904756
1520,0.304797913,0.207719896,-0.35201251,0.207752356,-0.304790797,-0.352070557
1525,1.000394817,-0.32567181,-0.391544178,-0.325739014,-1.000395514,-0.391363392
1530,1.190206076,-0.32598256,-0.414223626,-0.326007888,-1.190198393,-0.41423027
1535,1.194491984,0.082480979,-0.569945658,0.082503426,-1.194517014,-0.569953452
1540,1.671525484,-0.697818957,-1.252012658,-0.69763071,-1.671489048,-1.251905048
1545,1.558817323,-0.829270137,-0.656875327,-0.829307866,-1.558864475,-0.656959987
1550,2.265193457,-2.512554703,-2.123951415,-2.512525292,-2.26519685,-2.124033345
1555,3.772013552,-1.790549795,-0.385295988,-1.790522132,-3.772072154,-0.385412963
1560,3.774357621,-1.017887335,0.831050358,-1.017863699,-3.774404627,0.830966015
1565,0.75130947,0.120968838,0.800718691,0.120950014,-0.751279424,0.800632111
1570,0.084034966,0.242608506,0.825240574,0.242589216,-0.084033731,0.825240244
1575,2.876509498,1.531619844,-0.360393635,1.531722053,-2.876505059,-0.360610918
1580,-0.330860455,-0.225760821,-0.128276498,-0.225675082,0.330881795,-0.128229398
1585,-1.665884673,-1.027361682,0.161052266,-1.027362997,1.6658554,0.161100663
1590,0.253388019,0.750181743,0.767962845,0.750189023,-0.25337907,0.767982689
1595,1.188607801,0.486358975,0.621264764,0.486419321,-1.188604749,0.621279275
1600,0.569713148,-1.487027222,0.317128764,-1.486997836,-0.569771516,0.317138608
1605,-1.710298271,-0.007486264,-0.34790541,-0.007492754,1.710248009,-0.347864237
1610,-1.422174937,0.762914728,-1.084513227,0.762895014,1.42220337,-1.084490937
1615,-8.095511185,0.51602631,-0.263216515,0.515926745,8.095548035,-0.263055524
1620,-2.924862684,0.950969737,0.884468138,0.950816122,2.924816976,0.884626437
1625,-2.402366959,-0.266875178,1.682780084,-0.266889861,2.402318603,1.682675683
